link,nome_evento,tipo_evento,data_evento,local_evento,ambiente
https://bileto.sympla.com.br/event/100147,SE MINHA VIDA FOSSE UM FILME,Teatro,"Sex, 29 Nov · 19:00","Concha Acústica - Salvador, BA",Ao ar livre
https://bileto.sympla.com.br/event/100924,"Concertos Astra- Finamax 26º Temporada – 30/11 – Orquestra Jovem Tom Jobim, regência Nelson Ayres e Tiago Costa – Gabriele Mirabassi, Clarinete",Teatro,"Sab, 30 Nov · 20:00","Teatro Polytheama - Jundiaí, SP",Fechado
https://www.sympla.com.br/evento/festivalzinho/2547538,Festivalzinho,Festival,"Sab, 30 Nov · 10:00","Parque Villa-Lobos - São Paulo, SP",Ao ar livre
https://bileto.sympla.com.br/event/96040,SAMUEL ROSA - 29/11/24,Show,"Sex, 29 Nov · 21:00","Araújo Vianna - Porto Alegre, RS",Indefinido
https://bileto.sympla.com.br/event/99559,JEAN TASSY - 29/11/24,Show,"Sex, 29 Nov · 23:00","Opinião - Porto Alegre, RS",Indefinido
https://www.sympla.com.br/evento/encontro-de-vinhos-sao-paulo-novembro/2624351,Encontro de Vinhos São Paulo - Novembro,Festival,"Sab, 30 Nov · 12:00","Casa das Caldeiras - São Paulo, SP",Fechado
https://bileto.sympla.com.br/event/99998,Sinpro-JF 90 anos: Zeca Baleiro,Teatro,"Sex, 29 Nov · 21:00","Cine Theatro Central - Juiz de Fora, MG",Fechado
https://bileto.sympla.com.br/event/100179,A Última Entrevista de Marília Gabriela,Teatro,29 Nov,"Teatro Villa Lobos - Shopping Villa lobos - São Paulo, SP",Fechado
https://www.sympla.com.br/evento/hosana-sergipe-2024/2687353,Hosana Sergipe 2024,Show,"Sab, 30 Nov · 08:00"," Salles Multieventos - Aracaju, SE",Fechado
https://www.sympla.com.br/evento/porco-na-encruzilhada/2720197,Porco na Encruzilhada,Teatro,"Sab, 30 Nov · 19:00","Cine Odeon - Centro Cultural Luiz Severiano Ribeiro - Rio de Janeiro, RJ",Fechado
https://www.sympla.com.br/evento/7o-encontro-estadual-bahia/2593445,7º Encontro Estadual Bahia,Festival,"Sab, 30 Nov · 07:00","Armazém Convention - Lauro de Freitas, BA",Fechado
https://bileto.sympla.com.br/event/90694,WAGNER & STRAUSS,Show,"Sab, 30 Nov · 17:00","Casa da Ospa - Porto Alegre, RS",Fechado
https://www.sympla.com.br/evento/kawasaki-day-2024-30-de-novembro-ecpa-piracicaba-sp/2706228,KAWASAKI DAY 2024  - 30 DE NOVEMBRO - ECPA - Piracicaba SP,Festival,"Sab, 30 Nov · 08:00","Autódromo ECPA - Piracicaba, SP",Ao ar livre
https://bileto.sympla.com.br/event/99873,TURANDOT,Teatro,"Sex, 29 Nov · 19:00","Escola de Artes Visuais do Parque Lage  - Rio de Janeiro, RJ",Ao ar livre
https://bileto.sympla.com.br/event/100623,SESSÃO EXTRA 18:30 - Vida de Pai -  Show solo de Serginho Lacerda,Show,"Sab, 30 Nov · 18:30","Curitiba Comedy Club			 - Curitiba, PR",Indefinido
